0	1	2	2
0	1	2	2
0	1	2	2
0	1	2	2
0	1	2	2
0	1	2	2
0	1	2	2
0	1	2	2
0	1	2	2
0	1	2	2
0	1	2	2
0	1	2	2
0	1	2	2
0	1	2	2
0	1	2	2
0	1	2	2
0	1	2	2
0	1	2	2
0	1	2	2
0	1	2	2
0	1	2	2
0	1	2	2
0	1	2	2
0	1	2	3
0	1	2	4
7	0	0	5
7	0	0	6
7	0	0	7
7	0	0	9
7	0	0	11
7	0	0	13
7	0	0	15
7	0	0	17
7	0	0	18
7	0	0	20
7	0	0	21
7	0	0	22
7	0	0	24
7	0	0	26
7	0	0	28
7	0	0	29
7	0	0	31
7	0	0	33
7	0	0	35
7	0	0	36
7	0	0	37
7	0	0	38
7	0	0	40
7	0	0	41
7	0	0	42
7	0	0	43
7	0	0	45
7	0	0	45
7	0	0	46
7	0	0	47
7	0	0	50
7	0	0	51
7	0	0	53
7	0	0	55
7	0	0	56
7	0	0	57
7	0	0	58
7	0	0	59
7	0	0	61
7	0	0	63
7	0	0	65
7	0	0	67
7	0	0	69
7	0	0	70
7	0	0	73
7	0	0	74
7	0	0	76
7	0	0	79
7	0	0	80
7	0	0	84
7	0	0	85
7	0	0	87
7	0	0	89
7	0	0	91
7	0	0	92
7	0	0	92
7	0	0	95
7	0	0	96
7	0	0	97
7	0	0	97
7	0	0	98
7	0	0	98
7	0	0	99
7	0	0	100
7	0	0	101
7	0	0	104
7	0	0	105
7	0	0	112
7	0	0	116
7	0	0	118
7	0	0	125
7	0	0	128
7	0	0	128
6	0	116	129
