6806,15,Blue One,0,0,1,0,0,0,0,0,0,0,2,0,0,spent whole time trying to gert one goal up
6806,1,Blue Two,0,0,0,0,0,0,0,0,0,0,2,0,0,has no ground auto and can push goals
6806,23,Red Two,0,0,0,1,0,0,0,0,0,0,4,0,0,
6914,13,Blue Two,0,0,0,0,0,0,0,0,0,0,1,1,0,no auto
6914,22,(Choose),0,0,0,1,0,0,0,0,0,0,0,0,0,Sat in front of the center goal
6914,4,Red Two,0,0,0,1,0,0,0,0,0,0,3,0,0,
6914,7,Red One,0,0,0,0,0,0,0,0,0,0,1,0,0,almost fell off ramp and did knock goal off ramp
6977,4,Blue One,0,0,0,0,0,0,0,0,0,0,2,0,0,Could not score by themselves so they lined a goal up for their partner
7974,16,Red One,0,0,0,0,0,0,0,0,0,0,1,0,0,
7974,19,Red Two,0,0,0,1,0,0,0,0,0,0,0,0,0,Died
7979,14,Red Two,0,0,0,0,0,0,0,0,0,0,2,1,0,No auto
7979,1,Red One,0,0,0,0,0,0,0,0,0,0,0,0,0,no auto used if any did not do much
7979,20,Blue Two,0,0,0,0,0,0,0,0,0,0,1,0,0,
8042,18,Red Two,0,0,0,0,0,0,0,0,0,0,0,0,0, Did not run
8042,23,Blue Two,0,0,0,0,0,0,0,0,0,0,1,0,0,no auto or teleop or end game
8042,6,Red One,0,0,0,0,0,0,0,0,0,0,0,0,0,no auto tried to score balls but never got any in a goal
8042,9,(Choose),0,0,0,1,0,0,0,0,0,0,0,0,0,Died
8680,11,Blue One,0,0,0,0,0,0,0,0,0,1,1,0,0,
8680,15,Blue One,0,0,0,0,0,0,0,0,0,2,0,0,0,no auto
8680,24,(Choose),0,0,0,0,0,0,0,0,0,0,2,0,0,
8680,3,Red Two,0,0,0,0,0,0,0,0,0,0,0,0,0,No auto broke
8823,12,(Choose),0,0,0,1,0,0,0,0,0,0,4,0,0,pushed against a robot and drove back up the ramp and fell off
8823,17,Red Two,0,0,0,1,0,0,0,0,0,0,2,0,0,
8823,6,Red Two,0,0,0,1,0,0,0,0,0,0,4,0,0,Tried to get 30 in auto
8823,,Blue One,0,0,0,0,0,0,0,0,0,0,2,0,0,
